,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2,tournament_url
0,ATP Buenos Aires,argentina,2015-03-01,Nadal R.,Monaco J.,"Final result 2:0 (6:4, 6:1)",1.14,7.18,-5.5,1.80,2.12,+19,1.90,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-monaco-juan-fXt3iNDt/
1,ATP Buenos Aires,argentina,2015-02-28,Nadal R.,Berlocq C.,"Final result 2:0 (7:67, 6:2)",1.11,8.71,-5.5,1.84,2.09,+19,1.93,1.97,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-berlocq-carlos-vZmjVm47/
2,ATP Buenos Aires,argentina,2015-02-28,Monaco J.,Almagro N.,"Final result 2:1 (6:3, 66:7, 6:4)",2.63,1.56,+3,1.98,1.93,+22,1.91,2.00,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/monaco-juan-almagro-nicolas-ro12Fp8h/
3,ATP Buenos Aires,argentina,2015-02-28,Nadal R.,Delbonis F.,"Final result 2:0 (6:1, 6:1)",1.10,9.35,-5.5,2.00,1.91,+19.5,1.90,2.01,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-delbonis-federico-UPVAMKb0/
4,ATP Buenos Aires,argentina,2015-02-27,Berlocq C.,Rola B.,"Final result 2:0 (6:1, 6:3)",1.33,3.75,-4,2.01,1.90,+21.5,1.96,1.94,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/berlocq-carlos-rola-blaz-lvje6Ig5/
5,ATP Buenos Aires,argentina,2015-02-27,Almagro N.,Robredo T.,"Final result 2:0 (6:3, 6:2)",1.67,2.38,-2.5,2.03,1.85,+22.5,1.93,1.97,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/almagro-nicolas-robredo-tommy-xKS6K8EF/
6,ATP Buenos Aires,argentina,2015-02-27,Monaco J.,Cuevas P.,"Final result 2:1 (7:61, 64:7, 6:4)",2.10,1.84,-0.5,2.00,1.85,+22,1.98,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/monaco-juan-cuevas-pablo-Wrw1IE1c/
7,ATP Buenos Aires,argentina,2015-02-27,Olivo R.,Robredo T.,"Final result 0:2 (1:6, 2:6)",4.00,1.29,+4,1.89,2.01,+22,1.95,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/olivo-renzo-robredo-tommy-be2n50HC/
8,ATP Buenos Aires,argentina,2015-02-26,Almagro N.,Ramos A.,"Final result 2:0 (6:3, 6:4)",1.36,3.44,-4,2.03,1.80,+22,1.88,2.01,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/almagro-nicolas-ramos-vinolas-albert-MifKIDn5/
9,ATP Buenos Aires,argentina,2015-02-26,Bagnis F.,Rola B.,"Final result 0:2 (2:6, 1:6)",2.25,1.73,+1.5,2.02,1.84,+22,2.01,1.89,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/bagnis-facundo-rola-blaz-2mNg2h2O/
10,ATP Buenos Aires,argentina,2015-02-26,Fognini F.,Berlocq C.,"Final result 0:2 (3:6, 0:6)",1.72,2.25,-2.5,2.00,1.86,+22,1.99,1.87,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/fognini-fabio-berlocq-carlos-EafNB5ZK/
11,ATP Buenos Aires,argentina,2015-02-26,Nadal R.,Arguello F.,"Final result 2:0 (6:4, 6:0)",1.03,17.50,-7,1.98,1.91,+17,1.85,2.04,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nadal-rafael-arguello-facundo-dOaICoKE/
12,ATP Buenos Aires,argentina,2015-02-25,Mayer L.,Monaco J.,"Final result 0:2 (4:6, 4:6)",1.88,2.02,-1,1.99,1.88,+22,1.88,2.00,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/mayer-leonardo-monaco-juan-KA24Re52/
13,ATP Buenos Aires,argentina,2015-02-25,Andreozzi G.,Cuevas P.,"Final result 0:2 (64:7, 1:6)",4.38,1.26,+4.5,1.98,1.91,+20,1.90,1.99,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/andreozzi-guido-cuevas-pablo-hEX921d7/
14,ATP Buenos Aires,argentina,2015-02-25,Lorenzi P.,Delbonis F.,"Final result 0:2 (4:6, 2:6)",2.80,1.50,+3,2.05,1.82,+21.5,1.95,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/lorenzi-paolo-delbonis-federico-Stg1hmbJ/
15,ATP Buenos Aires,argentina,2015-02-25,Andujar-Alba P.,Almagro N.,"Final result 1:2 (3:6, 6:3, 2:6)",3.36,1.38,+4,1.91,1.94,+21,1.89,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/andujar-alba-pablo-almagro-nicolas-EuEErkWo/
16,ATP Buenos Aires,argentina,2015-02-24,Cecchinato M.,Bagnis F.,"Final result 1:2 (6:4, 5:7, 3:6)",1.96,1.93,-1.5,1.99,1.86,+21.5,1.88,1.96,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/cecchinato-marco-bagnis-facundo-z3WiaI4C/
17,ATP Buenos Aires,argentina,2015-02-24,Andreozzi G.,Molteni A.,"Final result 2:0 (6:2, 6:2)",1.46,2.89,-3.5,1.95,1.90,+21,1.95,1.90,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/andreozzi-guido-molteni-andres-4xydbxKI/
18,ATP Buenos Aires,argentina,2015-02-24,Zeballos H.,Ramos A.,"Final result 0:2 (4:6, 1:6)",2.61,1.55,+2.5,1.96,1.89,+22,1.92,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/zeballos-horacio-ramos-vinolas-albert-82DIs9oh/
19,ATP Buenos Aires,argentina,2015-02-24,Schwartzman D.,Berlocq C.,"Final result 0:2 (3:6, 3:6)",2.20,1.74,+1,1.97,1.85,+22,1.99,1.86,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/schwartzman-diego-sebastian-berlocq-carlos-jmM6takI/
20,ATP Buenos Aires,argentina,2015-02-24,Arguello F.,Montanes A.,"Final result 2:0 (6:3, 6:2)",2.47,1.60,+2.5,1.99,1.87,+21.5,1.95,1.90,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/arguello-facundo-montanes-albert-dCXm0bk6/
21,ATP Buenos Aires,argentina,2015-02-24,Delbonis F.,Carreno-Busta P.,"Carreno-Busta P. retired (7:62, 3:0)",1.72,2.23,-2.5,1.97,1.85,+22,1.97,1.88,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/delbonis-federico-carreno-busta-pablo-xpI2suzC/
22,ATP Buenos Aires,argentina,2015-02-24,Rola B.,Vesely J.,"Final result 2:0 (6:4, 6:3)",3.90,1.29,+4,1.91,1.94,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/rola-blaz-vesely-jiri-pALAuJ4O/
23,ATP Buenos Aires,argentina,2015-02-24,Nieminen J.,Olivo R.,"Final result 1:2 (63:7, 7:5, 0:6)",1.57,2.55,-2.5,1.86,1.99,+22,1.96,1.89,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/nieminen-jarkko-olivo-renzo-M5HMtT0b/
24,ATP Buenos Aires,argentina,2015-02-24,Gonzalez M.,Monaco J.,"Final result 0:2 (2:6, 2:6)",3.62,1.33,+4,2.04,1.83,+21.5,1.93,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/gonzalez-maximo-monaco-juan-zkFAqVGu/
25,ATP Buenos Aires,argentina,2015-02-23,Mayer L.,Robert S.,"Final result 2:0 (6:0, 6:1)",1.18,5.47,-5,2.05,1.81,+20,1.93,1.93,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/mayer-leonardo-robert-stephane-O0KEvwKU/
26,ATP Buenos Aires,argentina,2015-02-23,Arguello F.,Collarini A.,"Final result 2:1 (4:6, 6:2, 6:1)",1.61,2.40,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/arguello-facundo-collarini-andrea-lYbNliII/
27,ATP Buenos Aires,argentina,2015-02-23,Cecchinato M.,Duran G.,"Final result 2:0 (6:1, 7:60)",1.18,5.20,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/cecchinato-marco-duran-guillermo-CnSzXRjG/
28,ATP Buenos Aires,argentina,2015-02-23,Lorenzi P.,Bellucci T.,"Final result 2:1 (6:4, 65:7, 6:1)",2.53,1.58,+3,1.94,1.91,+21,1.89,1.92,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/lorenzi-paolo-bellucci-thomaz-fLScrLK5/
29,ATP Buenos Aires,argentina,2015-02-23,Bagnis F.,Monteiro T.,"Final result 2:1 (7:5, 5:7, 6:2)",1.48,2.75,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/bagnis-facundo-monteiro-thiago-SOcRmBXO/
30,ATP Buenos Aires,argentina,2015-02-23,Molteni A.,Volandri F.,"Volandri F. retired (2:6, 7:5, 0:0)",2.68,1.50,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/molteni-andres-volandri-filippo-2iTAKi2n/
31,ATP Buenos Aires,argentina,2015-02-22,Volandri F.,Lama G.,"Final result 2:0 (6:0, 6:3)",1.38,3.17,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/volandri-filippo-lama-gonzalo-vDS6FVp2/
32,ATP Buenos Aires,argentina,2015-02-22,Quinzi G.,Monteiro T.,"Final result 0:2 (3:6, 4:6)",1.79,2.09,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/quinzi-gianluigi-monteiro-thiago-joiv85ac/
33,ATP Buenos Aires,argentina,2015-02-22,Bagnis F.,Velotti A.,"Final result 2:1 (4:6, 6:2, 6:4)",1.25,4.14,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/bagnis-facundo-velotti-agustin-p8jr7PE3/
34,ATP Buenos Aires,argentina,2015-02-22,Carballes Baena R.,Molteni A.,"Final result 1:2 (2:6, 6:4, 64:7)",1.33,3.50,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/carballes-baena-roberto-molteni-andres-IcvbHiGk/
35,ATP Buenos Aires,argentina,2015-02-22,Arguello F.,Dellien H.,"Dellien H. retired (6:3, 3:1)",1.32,3.55,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/arguello-facundo-dellien-hugo-4U6RumG4/
36,ATP Buenos Aires,argentina,2015-02-22,Clezar G.,Collarini A.,"Final result 0:2 (5:7, 3:6)",1.59,2.45,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/clezar-guilherme-collarini-andrea-rL5Vv7VA/
37,ATP Buenos Aires,argentina,2015-02-22,Bahamonde F.,Duran G.,"Final result 1:2 (0:6, 6:4, 3:6)",3.76,1.29,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/bahamonde-francisco-duran-guillermo-zJ8mBGgG/
38,ATP Buenos Aires,argentina,2015-02-22,Cecchinato M.,Garin Ch.,"Final result 2:0 (7:5, 6:1)",1.71,2.20,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/cecchinato-marco-garin-christian-hzTljFHj/
39,ATP Buenos Aires,argentina,2015-02-21,Bagnis F.,Doria L.,"Final result 2:0 (6:1, 6:0)",1.05,12.20,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/bagnis-facundo-doria-luciano-IsvAXfm4/
40,ATP Buenos Aires,argentina,2015-02-21,Paz J. P.,Velotti A.,"Final result 0:2 (4:6, 4:6)",3.01,1.41,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/paz-juan-pablo-velotti-agustin-06TEWE2A/
41,ATP Buenos Aires,argentina,2015-02-21,Quinzi G.,Silva D. R.,"Final result 2:0 (6:4, 6:4)",1.74,2.16,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/quinzi-gianluigi-dutra-da-silva-rogerio-vcSIVYHG/
42,ATP Buenos Aires,argentina,2015-02-21,Monteiro T.,Pella G.,"Final result 2:1 (7:61, 3:6, 6:2)",4.02,1.27,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/monteiro-thiago-pella-guido-8WWMUhXM/
43,ATP Buenos Aires,argentina,2015-02-21,Arguello F.,Feitt F.,"Final result 2:0 (6:1, 6:1)",1.03,15.09,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/arguello-facundo-feitt-franco-nNVQTCnT/
44,ATP Buenos Aires,argentina,2015-02-21,Iliev J. I.,Clezar G.,"Final result 0:2 (1:6, 0:6)",21.40,1.01,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/iliev-juan-ignacio-clezar-guilherme-4vCcOjAj/
45,ATP Buenos Aires,argentina,2015-02-21,Collarini A.,Jarry N.,"Final result 2:0 (6:3, 7:5)",2.80,1.47,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/collarini-andrea-jarry-nicolas-Is0umzmi/
46,ATP Buenos Aires,argentina,2015-02-21,Kim Y.,Dellien H.,"Final result 1:2 (6:1, 3:6, 67:7)",4.97,1.19,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/kim-young-seok-dellien-hugo-h48gPWfp/
47,ATP Buenos Aires,argentina,2015-02-21,Perez Mota M.,Lama G.,"Final result 0:2 (3:6, 3:6)",10.30,1.06,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/perez-mota-mauricio-lama-gonzalo-nNidqhnG/
48,ATP Buenos Aires,argentina,2015-02-21,Buchhass M. R.,Volandri F.,Buchhass M. R. retired (2:3),10.64,1.06,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/buchhass-matias-rodolfo-volandri-filippo-h0hhpYW9/
49,ATP Buenos Aires,argentina,2015-02-21,Molteni A.,Cachin P.,"Final result 2:1 (6:1, 3:6, 6:4)",none,none,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/molteni-andres-cachin-pedro-E9gloEH3/
50,ATP Buenos Aires,argentina,2015-02-21,Carballes Baena R.,Casanova H.,"Final result 2:0 (6:2, 6:1)",1.05,11.26,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/carballes-baena-roberto-casanova-hernan-dYbqnf2c/
51,ATP Buenos Aires,argentina,2015-02-21,Duran G.,Trungelliti M.,"Final result 2:0 (6:3, 6:1)",4.82,1.20,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/duran-guillermo-trungelliti-marco-vZozxAvj/
52,ATP Buenos Aires,argentina,2015-02-21,Cecchinato M.,Rondina M.,"Final result 2:0 (6:0, 6:2)",1.02,17.21,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/cecchinato-marco-rondina-martin-0Qe0rC1M/
53,ATP Buenos Aires,argentina,2015-02-21,Matute J. M.,Bahamonde F.,"Final result 1:2 (3:6, 7:5, 2:6)",3.81,1.29,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/matute-juan-manuel-bahamonde-francisco-pbXWxjPq/
54,ATP Buenos Aires,argentina,2015-02-21,Garin Ch.,Alund M.,"Alund M. retired (6:3, 3:0)",2.01,1.85,none,none,none,none,none,none,http://www.oddsportal.com//tennis/argentina/atp-buenos-aires-2015/garin-christian-alund-martin-rko5sWGS/
