,League,country,date,player1,player2,result,HomeAwayodd01,HomeAwayodd02,AHgames,AHodd01,AHodd02,OUgames,OUodds1,OUodds2
0,ATP Buenos Aires,argentina,2016-02-14,Thiem D.,Almagro N.,"Final result 2:1 (7:62, 3:6, 7:64)",1.57,2.60,-2.5,1.95,1.95,+23,1.98,1.93
1,ATP Buenos Aires,argentina,2016-02-13,Almagro N.,Ferrer D.,"Final result 2:0 (6:4, 7:5)",3.36,1.38,+3.5,2.00,1.91,+22,1.91,2.00
2,ATP Buenos Aires,argentina,2016-02-13,Nadal R.,Thiem D.,"Final result 1:2 (4:6, 6:4, 64:7)",1.22,5.05,-4.5,1.88,2.02,+21.5,1.98,1.93
3,ATP Buenos Aires,argentina,2016-02-13,Cuevas P.,Ferrer D.,"Final result 1:2 (4:6, 6:1, 3:6)",4.80,1.23,+4,2.10,1.83,+21.5,1.94,1.96
4,ATP Buenos Aires,argentina,2016-02-12,Almagro N.,Tsonga J-W.,"Final result 2:0 (6:2, 7:5)",3.92,1.31,+3.5,2.05,1.86,+22.5,1.98,1.93
5,ATP Buenos Aires,argentina,2016-02-12,Nadal R.,Lorenzi P.,"Final result 2:0 (7:63, 6:2)",1.06,12.75,none,none,none,+18.5,1.93,1.97
6,ATP Buenos Aires,argentina,2016-02-12,Lajovic D.,Thiem D.,"Final result 0:2 (4:6, 2:6)",3.48,1.36,+4,1.88,2.02,+22,1.99,1.92
7,ATP Buenos Aires,argentina,2016-02-12,Nadal R.,Monaco J.,"Final result 2:0 (6:4, 6:4)",1.08,10.44,-6,1.93,1.95,+19,1.96,1.93
8,ATP Buenos Aires,argentina,2016-02-11,Lorenzi P.,Schwartzman D.,"Final result 2:1 (4:6, 6:3, 6:1)",2.44,1.63,+2,2.04,1.82,none,none,none
9,ATP Buenos Aires,argentina,2016-02-11,Olivo R.,Ferrer D.,"Final result 0:2 (2:6, 2:6)",11.51,1.07,+6,2.01,1.88,+18.5,1.88,2.01
10,ATP Buenos Aires,argentina,2016-02-11,Cuevas P.,Giraldo S.,"Final result 2:0 (6:4, 6:2)",1.32,3.75,-4,2.00,1.89,+21,1.91,1.98
11,ATP Buenos Aires,argentina,2016-02-11,Mayer L.,Tsonga J-W.,"Final result 0:2 (1:6, 2:6)",2.62,1.56,+2.5,1.97,1.92,+23,1.92,1.97
12,ATP Buenos Aires,argentina,2016-02-10,Isner J.,Lajovic D.,"Final result 1:2 (610:7, 6:4, 66:7)",1.52,2.73,-2.5,1.95,1.93,+24.5,1.97,1.92
13,ATP Buenos Aires,argentina,2016-02-10,Elias G.,Thiem D.,"Final result 1:2 (6:3, 67:7, 3:6)",5.95,1.17,+4.5,2.03,1.86,+21,1.96,1.93
14,ATP Buenos Aires,argentina,2016-02-10,Delbonis F.,Almagro N.,"Final result 1:2 (3:6, 6:4, 4:6)",2.20,1.75,+1,2.02,1.84,+23.5,1.93,1.96
15,ATP Buenos Aires,argentina,2016-02-09,Cecchinato M.,Monaco J.,"Final result 0:2 (1:6, 3:6)",2.61,1.55,+1,2.01,1.79,+22,1.92,1.93
16,ATP Buenos Aires,argentina,2016-02-09,Carreno-Busta P.,Thiem D.,"Final result 1:2 (0:6, 6:3, 3:6)",2.89,1.46,+2.5,1.98,1.81,+23,1.93,1.88
17,ATP Buenos Aires,argentina,2016-02-09,Lorenzi P.,Andujar-Alba P.,"Final result 2:1 (2:6, 7:5, 6:2)",1.90,1.99,-1,2.03,1.81,+22,1.86,1.99
18,ATP Buenos Aires,argentina,2016-02-09,Lajovic D.,Arguello F.,"Final result 2:0 (7:67, 6:3)",1.46,2.91,-3.5,1.95,1.85,+22,1.93,1.93
19,ATP Buenos Aires,argentina,2016-02-09,Fognini F.,Delbonis F.,"Final result 1:2 (7:64, 4:6, 4:6)",1.53,2.65,-3,1.99,1.86,+23,1.88,1.98
20,ATP Buenos Aires,argentina,2016-02-09,Lajovic D.,Verdasco F.,Canceled,2.50,1.59,+2.5,1.99,1.82,+22.5,1.96,1.89
21,ATP Buenos Aires,argentina,2016-02-09,Bagnis F.,Olivo R.,"Final result 0:2 (69:7, 5:7)",1.53,2.66,-3,1.96,1.89,+22.5,1.90,1.93
22,ATP Buenos Aires,argentina,2016-02-09,Cuevas P.,Ramos A.,"Final result 2:0 (7:5, 6:2)",1.56,2.59,-3,2.03,1.83,+23,1.94,1.88
23,ATP Buenos Aires,argentina,2016-02-09,Elias G.,Munoz-De La Nava D.,"Final result 2:1 (4:6, 6:4, 6:1)",1.88,2.01,-1.5,2.01,1.85,+23.5,1.93,1.92
24,ATP Buenos Aires,argentina,2016-02-09,Mayer L.,Pella G.,"Final result 2:1 (2:6, 6:3, 6:3)",1.53,2.65,-3,2.09,1.75,+23,1.88,1.97
25,ATP Buenos Aires,argentina,2016-02-08,Schwartzman D.,Dolgopolov A.,"Final result 2:1 (5:7, 6:4, 6:3)",2.76,1.50,+2.5,2.08,1.76,+22.5,1.93,1.93
26,ATP Buenos Aires,argentina,2016-02-08,Giraldo S.,Cervantes I.,"Final result 2:0 (6:1, 7:5)",1.71,2.24,-2.5,1.99,1.83,+22.5,1.94,1.91
27,ATP Buenos Aires,argentina,2016-02-08,Montanes A.,Almagro N.,"Final result 0:2 (3:6, 3:6)",3.85,1.30,+3.5,2.03,1.83,+22.5,1.95,1.90
28,ATP Buenos Aires,argentina,2016-02-07,Bagnis F.,Rola B.,"Final result 2:0 (7:5, 6:1)",1.53,2.60,-3.5,2.08,1.76,+22,1.99,1.86
29,ATP Buenos Aires,argentina,2016-02-07,Montanes A.,Volandri F.,"Final result 2:0 (6:3, 6:4)",1.56,2.53,-3,1.96,1.89,none,none,none
30,ATP Buenos Aires,argentina,2016-02-07,Cecchinato M.,Arguello F.,"Final result 2:0 (6:3, 7:5)",1.64,2.34,-2.5,2.02,1.81,+22,1.93,1.92
31,ATP Buenos Aires,argentina,2016-02-07,Clezar G.,Elias G.,"Final result 0:2 (5:7, 69:7)",2.31,1.65,+1.5,2.00,1.82,+22.5,1.93,1.92
32,ATP Buenos Aires,argentina,2016-02-06,Volandri F.,Gonzalez M.,"Final result 2:1 (6:4, 4:6, 6:4)",2.28,1.67,-0.5,1.99,1.82,+21.5,1.93,1.93
33,ATP Buenos Aires,argentina,2016-02-06,Montanes A.,Pereira J.,"Final result 2:0 (7:65, 7:66)",1.42,3.01,-4,2.10,1.74,+21.5,1.93,1.92
34,ATP Buenos Aires,argentina,2016-02-06,Gimeno-Traver D.,Clezar G.,"Final result 0:2 (3:6, 2:6)",2.02,1.84,+0.5,1.90,1.89,+22,1.93,1.92
35,ATP Buenos Aires,argentina,2016-02-06,Bagnis F.,Cachin P.,"Final result 2:1 (6:2, 65:7, 6:0)",1.28,3.84,-4.5,1.91,1.94,+20.5,1.97,1.88
36,ATP Buenos Aires,argentina,2016-02-06,Cecchinato M.,Galarza J. I.,"Final result 2:0 (6:1, 6:2)",1.17,5.52,-5.5,2.05,1.81,+19.5,1.85,2.01
37,ATP Buenos Aires,argentina,2016-02-06,Lipovsek P. T.,Elias G.,"Final result 0:2 (2:6, 64:7)",5.66,1.16,+5,1.99,1.82,+20,1.96,1.89
38,ATP Buenos Aires,argentina,2016-02-06,Casanova H.,Rola B.,"Final result 0:2 (0:6, 2:6)",5.20,1.18,+5,1.97,1.88,+20,1.93,1.92
39,ATP Buenos Aires,argentina,2016-02-06,Collarini A.,Arguello F.,"Final result 0:2 (3:6, 66:7)",3.64,1.31,+4,1.99,1.86,+21.5,1.96,1.89
